10000
person : Paavo Nurmi001 | ethnic group : Finnish | person has ethnicity
person : Zacarias Moussaoui | ethnic group : French | person has ethnicity
person : Carla Del Ponte | ethnic group : Swiss | person has ethnicity
ceo : Richard Nolte | ethnic group : American | person has ethnicity
politician us : Richard Perle | ethnic group : Israeli | person has ethnicity
person canada : Masi Oka | ethnic group : Japanese American | person has ethnicity
politician us : Barbara Boxer | ethnic group : American | person has ethnicity
person : Murat Kurnaz | ethnic group : Turkish | person has ethnicity
person : Abudl Karim Al Khawinay | ethnic group : Yemeni | person has ethnicity
person : Ospel | ethnic group : Swiss | person has ethnicity
person : David Coleman Headley | ethnic group : Pakistani American | person has ethnicity
person : Hussein Kamel | ethnic group : Iraqi | person has ethnicity
person : Steven Derounian | ethnic group : Armenian | person has ethnicity
person : Juliette Binoche | ethnic group : French | person has ethnicity
person : Jerome Robbins | ethnic group : Russian Jewish | person has ethnicity
person : Orly Taitz | ethnic group : Soviet | person has ethnicity
person : Kurt Westergaard | ethnic group : Danish | person has ethnicity
person : Annise Parker | ethnic group : American | person has ethnicity
person : Hia Farrow | ethnic group : American | person has ethnicity
person : Roy Scheider | ethnic group : American | person has ethnicity
ceo : Paul Watson | ethnic group : Canadian | person has ethnicity
person : Corey Bohan | ethnic group : Australian | person has ethnicity
person : Arsene Wenger | ethnic group : French | person has ethnicity
person europe : Amy Macdonald | ethnic group : Scottish | person has ethnicity
person : Vernon Bellecourt | ethnic group : Lakota | person has ethnicity
person : Theodor Kollek | ethnic group : Israeli | person has ethnicity
person : Silvestre Heerrera | ethnic group : Mexican | person has ethnicity
color : Grill | geometric shape : Sides | color of object
color : Green | vehicle : Lawn | color of object
color : Green | visualiza ble thing : Football Field | color of object
color : Green | visualiza ble attribute : Foliage | color of object
color : Green | landscape features : Hills | color of object
color : Green | vegetable : Cucumber | color of object
color : Green | vegetable : Cabbage | color of object
color : Green | visualiza ble thing : Leaves | color of object
color : Blonde | visualiza ble thing : Hair | color of object
color : Orange | color : Flesh | color of object
color : Orange | planet : Moon | color of object
color : Orange | visualiza ble thing : Flame | color of object
color : Orange | visualiza ble thing : Citrine | color of object
color : Orange | visualiza ble thing : Sun | color of object
color : Orange | visualiza ble thing : Sky | color of object
color : Orange | visualiza ble thing : Hair | color of object
color : Burgundy | visualiza ble thing : Leaves | color of object
color : Scarlet | visualiza ble thing : Face | color of object
color : Scarlet | visualiza ble thing : Leaves | color of object
color : Violet | visualiza ble thing : Sky | color of object
color : Red Color | vegetable : Green Leaves | color of object
color : Red Color | visualiza ble thing : Leaves | color of object
color : Golden Yellow | visualiza ble thing : Leaves | color of object
color : Amber Color | color : Mixture | color of object
color : Amber Color | baked good : Syrup | color of object
color : White | beverage : Polar Bear | color of object
color : Purple | city : Floor | color of object
color : Purple | color : Water | color of object
color : Purple | visualiza ble thing : Leaves | color of object
color : Beautiful Shades | visualiza ble thing : Leaves | color of object
color : Deep Blue | visualiza ble thing : Sky | color of object
color : Colors | color : Water | color of object
color : Colors | vegetable : Green Leaves | color of object
color : Colors | plant : Trees | color of object
